StationID,B,Bw,Bh,G,Gw,Gh,S,Sw,Sh
500210023,4503,3380,1123,12757,8409,4348,6,6,0
500210024,8046,5753,2293,7881,5134,2747,1339,908,431
500210025,8034,6185,1849,9175,5559,3616,57,51,6
500210026,2973,2387,586,13658,8988,4670,635,420,215
500210027,5949,4755,1194,10675,6612,4063,642,428,214
500210028,3016,2535,481,14072,9158,4914,178,102,76
500210029,2257,1788,469,14323,9776,4547,686,231,455
500210030,3722,2826,896,12709,8518,4191,835,451,384
500210031,4252,3377,875,12803,8278,4525,211,140,71
500210032,2868,2073,795,14138,9511,4627,260,211,49
500210033,3082,2168,914,13533,9187,4346,651,440,211
500210034,17266,11795,5471,0,0,0,0,0,0
500210035,4990,3750,1240,12020,7846,4174,256,199,57
500210036,5388,3759,1629,11693,7927,3766,185,109,76
500210037,4089,2370,1719,12723,8972,3751,454,453,1
500210038,2941,2142,799,13700,9152,4548,625,501,124
500210039,4285,3281,1004,12515,8175,4340,466,339,127
500210040,3531,2591,940,13024,8721,4303,711,483,228
500210041,6967,5432,1535,10080,6361,3719,219,2,217
500210042,3457,2821,636,13046,8491,4555,763,483,280
500210043,11532,8287,3245,5476,3507,1969,257,0,257
500210044,9443,6350,3093,5715,3783,1932,2107,1661,446
500210045,9466,6396,3070,7203,4973,2230,596,425,171
500210046,7020,5177,1843,9459,6114,3345,803,520,283
500210047,7736,5802,1934,9432,5895,3537,97,97,0
500210048,3691,2793,898,12817,8447,4370,757,554,203
500210049,5585,4447,1138,11641,7319,4322,39,28,11
500210050,2862,2131,731,13327,8855,4472,1076,808,268
500210051,3380,2739,641,13273,8905,4368,612,150,462
500211001,9347,6193,3154,7775,5602,2173,9135,5968,3167
500212001,10680,7077,3603,6585,4717,1868,8991,5968,3023
500212002,9926,6614,3312,7339,5180,2159,8991,5968,3023
500214001,2451,1840,611,14685,9867,4818,130,88,42
500214002,1779,1118,661,15406,10617,4789,81,60,21
500214003,1265,798,467,15899,10895,5004,102,102,0
500214004,1932,1657,275,15249,10053,5196,85,85,0
500214005,2482,1704,778,14669,9976,4693,115,115,0
500214006,4815,3802,1013,12369,7911,4458,82,82,0
500214007,2086,1952,134,15095,9778,5317,85,65,20
500214008,3402,2513,889,13458,8876,4582,406,406,0
500214009,3729,2743,986,13355,8908,4447,182,144,38
500214010,3750,3327,423,13326,8299,5027,190,169,21
500214011,2936,2604,332,13605,8648,4957,725,543,182
500214012,4799,3809,990,11731,7364,4367,736,622,114
500214013,2095,1163,932,15136,10597,4539,35,35,0
500214014,3827,3348,479,13431,8439,4992,8,8,0
500214015,1201,941,260,15773,10749,5024,292,105,187
500214016,1544,1278,266,15292,10272,5020,430,245,185
500214017,4903,3902,1001,11829,7499,4330,534,394,140
500214018,2253,1777,476,14953,9958,4995,60,60,0
500214019,3732,3112,620,13353,8514,4839,181,169,12
500214020,660,443,217,16389,11139,5250,217,213,4
500214021,2988,2732,256,13483,8399,5084,795,664,131
500214022,3222,3013,209,13283,8428,4855,761,354,407
500214023,1365,1040,325,15717,10587,5130,184,168,16
500214024,1221,945,276,15739,10671,5068,306,179,127
500214025,559,445,114,16577,11220,5357,130,130,0
500214026,1637,1278,359,15352,10329,5023,277,188,89
500214027,5487,4101,1386,11415,7396,4019,364,298,66
500214028,4354,3423,931,12834,8312,4522,78,60,18
500214029,3064,2636,428,13071,8289,4782,1131,870,261
500214030,3677,2376,1301,13589,9419,4170,0,0,0
500214031,3047,2736,311,14219,9059,5160,0,0,0
500214032,3674,2977,697,13557,8807,4750,35,11,24
500214033,1305,1305,0,15370,10061,5309,591,429,162
500214034,5472,3856,1616,11370,7569,3801,424,370,54
500214035,961,901,60,16286,10875,5411,19,19,0
500214036,2990,2731,259,14152,9042,5110,124,22,102
500214037,4563,3781,782,11298,7010,4288,1405,1004,401
500214038,3100,2167,933,13991,9453,4538,175,175,0
500214039,3686,3141,545,12850,8048,4802,730,606,124
500214040,2373,1658,715,14822,10078,4744,71,59,12
500214041,3866,3537,329,12896,8012,4884,503,245,258
500214042,2881,2329,552,14370,9463,4907,14,2,12
500214043,3561,2891,670,13334,8565,4769,370,338,32
500214044,3431,2681,750,13361,8807,4554,473,306,167
500214045,777,598,179,16176,10967,5209,312,229,83
500214046,2283,1580,703,13372,9209,4163,1610,1005,605
500214048,1601,1340,261,15480,10297,5183,184,157,27
500214049,3208,2793,415,13689,8843,4846,368,158,210
500214050,1278,818,460,15986,10975,5011,1,1,0
500214051,2196,1793,403,14991,9923,5068,78,78,0
500214052,2739,2246,493,14010,9186,4824,516,362,154
500214053,4122,3428,694,12334,7825,4509,809,541,268
500214054,2306,1880,426,14959,9914,5045,0,0,0
500214055,6023,4613,1410,11175,7114,4061,67,67,0
500214056,346,281,65,16591,11478,5113,328,35,293
500214057,4256,3678,578,12988,8112,4876,21,4,17
500214059,1998,1748,250,14334,9661,4673,933,385,548
500214060,1743,1464,279,14775,9684,5091,747,646,101
500214062,2240,2009,231,14736,9618,5118,289,167,122
500215001,2330,1209,1121,14936,10586,4350,0,0,0
500215002,752,254,498,16249,11354,4895,265,187,78
500215003,1516,1071,445,15471,10462,5009,279,262,17
500215004,1064,627,437,15927,11089,4838,275,79,196
500215005,9654,6541,3113,7612,5254,2358,8991,5968,3023
500215006,2430,1803,627,14094,9373,4721,742,619,123
500215007,771,438,333,15607,10692,4915,888,665,223
500216001,4212,3237,975,12602,8257,4345,452,301,151
500216002,1619,1004,615,15638,10782,4856,9,9,0
500216003,2288,2079,209,14471,9547,4924,507,169,338
500216004,1383,1055,328,15686,10568,5118,197,172,25
500216005,1644,1221,423,14978,9940,5038,644,634,10
500216006,3013,2194,819,14162,9585,4577,91,16,75
500216007,1651,1363,288,14440,9499,4941,1175,933,242
500216008,4154,2701,1453,13057,9044,4013,55,50,5
500216009,3517,2795,722,13656,8955,4701,93,45,48
500216010,2953,1918,1035,13569,9527,4042,744,350,394
500216011,3451,2720,731,13698,9066,4632,117,9,108
500216012,295,134,161,16908,11608,5300,63,53,10
500216013,5043,3717,1326,11569,7568,4001,654,510,144
500216014,1637,871,766,15628,10924,4704,1,0,1
500216015,1865,1665,200,14912,9767,5145,489,363,126
500216016,2638,2101,537,14320,9538,4782,308,156,152
500216017,1996,1593,403,15244,10176,5068,26,26,0
500216018,601,548,53,16516,11144,5372,149,103,46
500216019,1756,1410,346,15327,10276,5051,183,109,74
500216020,5272,3993,1279,11636,7513,4123,358,289,69
500216021,5932,4505,1427,10909,6899,4010,425,391,34
500216022,1530,1329,201,15565,10409,5156,171,57,114
500216023,3271,2854,417,13851,8818,5033,144,123,21
500216024,2305,1562,743,14961,10233,4728,0,0,0
500216025,5177,3800,1377,11779,7733,4046,310,262,48
500216026,2685,2094,591,14484,9640,4844,97,61,36
500216027,2576,2055,521,14316,9440,4876,374,300,74
500216028,3019,2346,673,14073,9343,4730,174,106,68
500216029,2994,2618,376,14120,9029,5091,152,148,4
500216030,17266,11795,5471,0,0,0,0,0,0
500216031,3230,2634,596,13283,8509,4774,753,652,101
500216032,2520,2212,308,14585,9462,5123,161,121,40
500216033,1273,866,407,15319,10465,4854,674,464,210
500216034,6219,4955,1264,11038,6840,4198,9,0,9
500216035,1626,987,639,14980,10188,4792,660,620,40
500216036,2765,2115,650,14417,9602,4815,84,78,6
500216037,2733,2491,242,14481,9252,5229,52,52,0
500216038,4938,3828,1110,12230,7895,4335,98,72,26
500216039,1898,1522,376,14697,9919,4778,671,354,317
500216040,2818,2106,712,13093,8516,4577,1355,1173,182
500216041,1034,907,127,15933,10676,5257,299,212,87
500216043,922,706,216,16114,10983,5131,230,106,124
500216044,3848,2892,956,13417,8902,4515,0,0,0
500216045,2384,2033,351,14828,9742,5086,53,19,34
500216046,3824,2884,940,12972,8556,4416,469,354,115
500216047,1927,1598,329,14989,10048,4941,349,148,201
500216048,2345,1424,921,14755,10250,4505,165,120,45
500216049,2910,2017,893,14204,9642,4562,151,135,16
500216050,5423,4076,1347,11813,7712,4101,29,6,23
500216051,5137,3647,1490,12028,8047,3981,100,100,0
500216052,1594,1269,325,15660,10525,5135,11,0,11
500216053,5216,3049,2167,12004,8700,3304,45,45,0
500216054,1048,724,324,15815,10706,5109,402,364,38
500216055,640,309,331,16598,11458,5140,27,27,0
500216056,2818,2053,765,12670,8357,4313,1777,1384,393
500216057,810,386,424,16383,11350,5033,72,58,14
500216058,520,456,64,16476,11205,5271,269,133,136
500216059,975,975,0,16261,10790,5471,29,29,0
500216060,2154,1581,573,14998,10191,4807,113,22,91
500216061,3887,2803,1084,12938,8807,4131,440,184,256
500216062,198,186,12,16970,11538,5432,97,70,27
500216063,326,292,34,16908,11478,5430,31,24,7
500216064,359,250,109,16891,11529,5362,15,15,0
500217001,10659,6689,3970,6606,5105,1501,8991,5968,3023
500217002,9631,6390,3241,7560,5342,2218,9065,6030,3035
500217003,9662,6285,3377,7603,5509,2094,8991,5968,3023
500218001,5383,4137,1246,10966,7031,3935,917,627,290
500218002,4195,2873,1322,12604,8644,3960,467,278,189
500218004,6676,4528,2148,10565,7244,3321,25,23,2
500218005,4606,3433,1173,12431,8244,4187,229,118,111
500218006,6197,4293,1904,10949,7382,3567,120,120,0
500218007,1543,1218,325,15053,10107,4946,670,470,200
500218008,2300,1473,827,14367,9862,4505,599,460,139
500218009,2850,2025,825,12333,8424,3909,2083,1346,737
500218010,3989,3510,479,13184,8212,4972,93,73,20
500218011,3296,2855,441,13591,8617,4974,379,323,56
500218012,3756,3453,303,13407,8342,5065,103,0,103
500218013,2897,2415,482,14206,9253,4953,163,127,36
500218014,2895,2328,567,14231,9424,4807,140,43,97
500218015,6412,5276,1136,10837,6502,4335,17,17,0
500218016,4299,3720,579,12967,8075,4892,0,0,0
500218017,2109,1596,513,15003,10050,4953,154,149,5
500218018,5060,4564,496,12136,7198,4938,70,33,37
500218019,1699,1228,471,15254,10300,4954,313,267,46
500218020,3379,2249,1130,13596,9255,4341,291,291,0
500218021,6043,4613,1430,10231,6530,3701,992,652,340
500218022,4938,3726,1212,11863,7771,4092,465,298,167
500218023,3751,2822,929,13109,8731,4378,406,242,164
500218024,2794,2222,572,14108,9231,4877,364,342,22
500218025,4017,2918,1099,12828,8517,4311,421,360,61
500218026,2179,1718,461,14790,9938,4852,297,139,158
500218027,4087,3398,689,13008,8240,4768,171,157,14
500218028,5788,4254,1534,10482,6795,3687,996,746,250
500218029,6730,5091,1639,10532,6700,3832,4,4,0
500218030,3142,2683,459,13682,8892,4790,442,220,222
500218031,4521,3640,881,12635,8155,4480,110,0,110
500218032,1720,1210,510,15526,10569,4957,20,16,4
500218033,4925,3777,1148,12093,7871,4222,248,147,101
500218034,1924,1805,119,14007,9045,4962,1335,945,390
500218035,4572,3658,914,12501,8059,4442,193,78,115
500218036,3732,2779,953,13408,8942,4466,126,74,52
500218037,4476,3330,1146,12259,8034,4225,531,431,100
500218038,2876,2296,580,14031,9339,4692,359,160,199
500218039,5243,4205,1038,11927,7529,4398,96,61,35
500218040,5956,4411,1545,11289,7368,3921,21,16,5
500218041,3079,2351,728,14037,9378,4659,150,66,84
500218042,3048,2703,345,14218,9092,5126,0,0,0
500218043,3780,2733,1047,13152,8890,4262,334,172,162
500218044,6425,4441,1984,10684,7262,3422,157,92,65
500218045,7388,5699,1689,7989,4603,3386,1889,1493,396
500218046,5399,3953,1446,11600,7680,3920,267,162,105
500218047,3195,2311,884,14052,9467,4585,19,17,2
500218048,3233,2118,1115,13841,9485,4356,192,192,0
500218049,3190,2638,552,13638,8839,4799,438,318,120
500218050,446,345,101,16380,11022,5358,440,428,12
500218051,3786,3174,612,12798,8302,4496,682,319,363
500218052,6943,4827,2116,10100,6843,3257,223,125,98
500218053,5500,4404,1096,11356,7162,4194,410,229,181
500218054,1460,1345,115,14695,9781,4914,1111,669,442
500218055,3933,3152,781,12866,8315,4551,467,328,139
500218056,2610,1787,823,14495,9875,4620,161,133,28
500218057,3510,2841,669,12679,7895,4784,1077,1059,18
500218058,2923,2399,524,12312,7838,4474,2031,1558,473
500218059,2435,2043,392,13470,8772,4698,1361,980,381
500218060,2431,1906,525,12848,8385,4463,1987,1504,483
500218061,8332,6150,2182,8751,5607,3144,183,38,145
500218062,1804,1402,402,15059,9990,5069,403,403,0
500218063,5547,4224,1323,11504,7411,4093,215,160,55
500218064,3341,2563,778,13592,9106,4486,333,126,207
500218065,2175,1516,659,14784,10076,4708,307,203,104
500218066,3077,2427,650,14021,9221,4800,168,147,21
500218067,3531,2827,704,13386,8737,4649,349,231,118
500218068,5135,3990,1145,11964,7728,4236,167,77,90
500218069,4447,3420,1027,12558,8186,4372,261,189,72
500218070,8742,6115,2627,8524,5680,2844,0,0,0
500218071,3868,3152,716,12848,8355,4493,550,288,262
500218072,3850,3099,751,13237,8617,4620,179,79,100
500218073,4022,3185,837,12722,8354,4368,522,256,266
500218074,3709,2833,876,12790,8479,4311,767,483,284
500218075,6303,4801,1502,10758,6826,3932,205,168,37
500218076,2424,1916,508,13499,8946,4553,1343,933,410
500218077,3536,2884,652,13458,8735,4723,272,176,96
500218078,3833,2924,909,12844,8468,4376,589,403,186
500218079,3987,3154,833,12902,8418,4484,377,223,154
500218080,4061,3152,909,13110,8568,4542,95,75,20
500218081,4622,3906,716,12201,7623,4578,443,266,177
500218082,4714,3686,1028,11789,7621,4168,763,488,275
500218083,1439,1095,344,15367,10386,4981,460,314,146
500218084,5409,3691,1718,11232,7700,3532,625,404,221
500218085,3806,3075,731,10473,6567,3906,2987,2153,834
500218086,2903,2182,721,13860,9240,4620,503,373,130
500218087,2287,1748,539,14251,9544,4707,728,503,225
500218088,4056,3479,577,12899,8316,4583,311,0,311
500218089,3295,2580,715,13192,8748,4444,779,467,312
500218090,4010,3329,681,12189,7764,4425,1067,702,365
500218091,4182,3485,697,9422,5922,3500,3662,2388,1274
500218092,297,91,206,16290,11194,5096,679,510,169
500218093,2591,2165,426,13784,8956,4828,891,674,217
500218094,3211,2529,682,13548,8853,4695,507,413,94
500218095,2897,2253,644,13432,8853,4579,937,689,248
500218096,4374,3282,1092,11968,8077,3891,924,436,488
500218097,8028,5507,2521,8535,5748,2787,2539,1512,1027
500218098,4550,3510,1040,12436,8220,4216,280,65,215
500218099,3434,2501,933,13246,8899,4347,586,395,191
500218100,1741,1289,452,14700,9969,4731,825,537,288
500218102,6756,5219,1537,10510,6576,3934,0,0,0
500218103,2654,1961,693,13795,9090,4705,817,744,73
500218104,2333,1972,361,14148,9351,4797,785,472,313
500218105,1455,1099,356,15370,10454,4916,441,242,199
500218106,2565,1820,745,13160,8812,4348,1541,1163,378
500218107,752,612,140,14968,10042,4926,1546,1141,405
500218108,4797,3816,981,10218,6187,4031,2251,1792,459
500218109,3364,2635,729,13339,8761,4578,563,399,164
500218110,1585,1122,463,15681,10673,5008,0,0,0
500218111,3340,2696,644,13307,8781,4526,619,318,301
500218113,3258,2674,584,13632,8856,4776,376,265,111
500218114,3226,2731,495,13530,8803,4727,510,261,249
500218115,2066,1671,395,12873,8633,4240,2327,1491,836
500218116,4729,3646,1083,12219,7930,4289,318,219,99
500218117,2638,1980,658,12718,8703,4015,1910,1112,798
500218118,9151,6300,2851,7969,5349,2620,146,146,0
500218119,1883,1438,445,14587,9712,4875,796,645,151
500218120,1396,1229,167,15870,10566,5304,0,0,0
500218121,2697,1970,727,14370,9710,4660,198,114,84
500218122,3824,2855,969,12128,7954,4174,1313,985,328
500218123,3210,3007,203,12711,7766,4945,1344,1021,323
500218124,5499,4401,1098,11441,7255,4186,325,138,187
500218126,3029,2218,811,14039,9379,4660,197,197,0
500218127,7161,5360,1801,8201,4548,3653,1903,1886,17
500218128,4219,3388,831,11973,7680,4293,1073,726,347
500218129,5767,4744,1023,10253,6482,3771,1245,568,677
500218130,4448,3112,1336,11973,7911,4062,844,771,73
500218131,4108,3225,883,12845,8461,4384,312,108,204
500218132,5917,4565,1352,11049,7082,3967,299,147,152
500218133,5980,4181,1799,9789,6581,3208,1496,1032,464
500218134,9135,6186,2949,5371,3372,1999,2759,2236,523
500218135,7580,5383,2197,6851,3955,2896,2834,2456,378
500218136,7818,5646,2172,6216,4018,2198,3231,2130,1101
500218137,5204,4025,1179,11978,7686,4292,83,83,0
500218138,3462,2668,794,12732,8383,4349,1071,743,328
500218139,3500,3057,443,13723,8737,4986,42,0,42
500218140,3830,3006,824,12408,8064,4344,1027,724,303
500218141,5247,4122,1125,10849,7174,3675,1169,498,671
500218142,1903,1032,871,14217,9833,4384,1145,929,216
500218143,3690,2532,1158,13191,9067,4124,384,195,189
500218144,3575,2844,731,13601,8908,4693,89,42,47
500218145,4463,3361,1102,12477,8319,4158,325,114,211
500218146,4102,3235,867,12769,8381,4388,394,178,216
500218148,6931,5377,1554,9668,5944,3724,666,473,193
500218149,5106,3900,1206,11484,7511,3973,675,383,292
500218150,3119,2581,538,10801,6921,3880,3345,2292,1053
500218151,2841,2307,534,13518,8864,4654,906,623,283
500218152,4856,3726,1130,12121,7921,4200,288,147,141
500218153,2898,2277,621,13822,9191,4631,545,326,219
500218154,8145,6078,2067,8407,5272,3135,713,444,269
500218155,785,666,119,15816,10644,5172,664,484,180
500218156,4048,3396,652,13217,8398,4819,0,0,0
500218157,2507,1881,626,13942,9360,4582,816,553,263
500218158,2789,2455,334,14141,9004,5137,335,335,0
500218159,2009,1326,683,15207,10438,4769,49,30,19
500218160,5606,4204,1402,9065,5722,3343,2594,1868,726
500218161,4947,3737,1210,11994,7795,4199,324,262,62
500218162,7007,5273,1734,8831,5715,3116,1427,806,621
500218163,2569,2017,552,14228,9524,4704,468,253,215
500218164,502,415,87,15715,10461,5254,1048,918,130
500218165,3230,2531,699,12316,8458,3858,1719,805,914
500218166,3440,2537,903,11604,7885,3719,2221,1372,849
500218168,960,701,259,15817,10804,5013,488,289,199
500218169,480,362,118,16724,11371,5353,61,61,0
500218170,1806,1451,355,15023,10010,5013,436,333,103
500218175,3167,2598,569,13904,9071,4833,194,125,69
500218176,4148,3472,676,13117,8322,4795,0,0,0
500218177,3372,2706,666,12060,7634,4426,1833,1454,379
500220001,2001,1663,338,15209,10076,5133,56,56,0
500220002,1789,1565,224,15202,10055,5147,275,175,100
500220003,3390,2802,588,13876,8993,4883,0,0,0
500220004,2540,1538,1002,14726,10257,4469,0,0,0
500220005,1845,1253,592,15362,10491,4871,59,51,8
500220006,4503,3531,972,12731,8232,4499,32,32,0
500220007,3017,1871,1146,13506,9372,4134,743,552,191
500220008,3298,2304,994,13762,9341,4421,206,150,56
500220009,2313,1768,545,14927,10011,4916,26,16,10
500220010,3001,2512,489,13659,8854,4805,606,429,177
500220011,5579,4133,1446,11551,7568,3983,136,94,42
500220012,2635,1834,801,14500,9911,4589,131,50,81
500220013,11920,7997,3923,5311,3788,1523,35,10,25
500220014,464,392,72,16700,11301,5399,101,101,0
500220015,7478,5022,2456,9622,6617,3005,165,155,10
500220016,4388,3047,1341,12866,8736,4130,11,11,0
500220017,1515,1355,160,15734,10439,5295,16,0,16
500220019,4194,3423,771,12186,7806,4380,885,565,320
500223001,5696,3935,1761,11196,7723,3473,374,137,237
500223002,4624,3498,1126,12389,8050,4339,253,247,6
500223003,2262,1285,977,14783,10333,4450,221,177,44
500223004,3227,2346,881,13771,9181,4590,268,268,0
500223005,4896,3208,1688,12299,8516,3783,71,71,0
500223006,1249,940,309,15928,10803,5125,89,52,37
500223007,522,331,191,16359,11151,5208,385,313,72
500223008,3862,3078,784,11372,7314,4058,2032,1403,629
500223009,3245,2263,982,13823,9479,4344,198,53,145
500223010,2945,2218,727,14292,9577,4715,29,0,29
500223011,5065,3674,1391,12017,8021,3996,184,100,84
500223012,5146,3780,1366,12063,7982,4081,57,33,24
500223013,2855,2176,679,14068,9458,4610,343,161,182
500223014,1395,990,405,15281,10463,4818,590,342,248
500223015,1713,1341,372,14861,9881,4980,692,573,119
500223016,2195,950,1245,14922,10730,4192,149,115,34
500223017,1759,1291,468,15275,10426,4849,232,78,154
500223018,7231,5120,2111,10020,6662,3358,15,13,2
500223019,4676,3001,1675,12590,8794,3796,0,0,0
500223020,5074,4084,990,12105,7667,4438,87,44,43
500223021,5647,4184,1463,11542,7553,3989,77,58,19
500223022,5034,4087,947,12232,7708,4524,0,0,0
500223023,5159,3908,1251,12068,7871,4197,39,16,23
500223024,4002,3078,924,13113,8570,4543,151,147,4
500223025,2223,1847,376,14593,9693,4900,450,255,195
500223026,5771,4446,1325,11495,7349,4146,0,0,0
500223027,8411,5575,2836,8769,6149,2620,86,71,15
500223028,5620,4062,1558,11523,7707,3816,123,26,97
500223029,3757,2100,1657,13430,9690,3740,79,5,74
500223030,4572,3408,1164,12613,8334,4279,81,53,28
500223031,3783,2796,987,12749,8388,4361,734,611,123
500223032,17266,11795,5471,0,0,0,0,0,0
500223033,7217,5318,1899,9302,5867,3435,747,610,137
500223034,3171,2088,1083,13755,9495,4260,340,212,128
500223035,741,406,335,16209,11188,5021,316,201,115
